features,Coefficients
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^3,-1.776424424
poly__Total_Trans_Amt^4,-1.623713311
poly__Total_Trans_Ct^4,1.620720113
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^3,-1.534304608
poly__Total_Trans_Ct,-1.343575329
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,-1.174909784
poly__Avg_Utilization_Ratio Total_Revolving_Bal^2,1.113705666
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,1.056254414
poly__Contacts_Count_12_mon Total_Trans_Amt^3,-1.032165796
poly__Total_Trans_Amt^3,-1.025800868
poly__Avg_Utilization_Ratio^2 Total_Trans_Amt Total_Trans_Ct,-0.989460145
poly__Total_Relationship_Count Total_Trans_Amt,0.979608482
poly__Total_Trans_Amt^3 Total_Trans_Ct,-0.971335865
poly__Total_Revolving_Bal,-0.927564201
poly__Total_Revolving_Bal^3,0.899196033
poly__Total_Revolving_Bal Total_Trans_Amt^3,0.89351215
poly__Avg_Utilization_Ratio Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.887952597
poly__Contacts_Count_12_mon Total_Trans_Ct,-0.85885722
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.858192053
poly__Contacts_Count_12_mon Total_Trans_Ct^3,-0.853124272
poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count Total_Trans_Amt,-0.836032186
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,-0.826066147
poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Amt Total_Trans_Ct,-0.81467159
poly__Contacts_Count_12_mon^4,0.805546999
poly__Dependent_count Total_Trans_Amt^3,-0.802412199
poly__Contacts_Count_12_mon^2 Total_Relationship_Count,-0.80050493
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.798862568
poly__Contacts_Count_12_mon,0.798144023
poly__Contacts_Count_12_mon Total_Trans_Amt^2,0.796798918
poly__Avg_Utilization_Ratio Total_Trans_Ct^3,-0.790602066
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,0.789998182
poly__Months_Inactive_12_mon^3 Total_Relationship_Count,-0.789792029
poly__Total_Relationship_Count Total_Trans_Amt^3,-0.77236686
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.771851461
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Ct^2,-0.764721855
poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count Total_Trans_Amt,0.761437014
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2 Total_Trans_Ct,-0.757485315
poly__Total_Relationship_Count Total_Trans_Ct^2,-0.751496356
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,0.74994612
poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Ct,-0.74585535
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.73579591
poly__Months_Inactive_12_mon Total_Relationship_Count^2 Total_Trans_Ct,-0.734816285
poly__Dependent_count Total_Relationship_Count Total_Trans_Ct^2,0.732033067
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^3,-0.727420911
poly__Dependent_count Total_Trans_Ct,-0.721483139
poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.716951739
poly__Months_Inactive_12_mon Total_Trans_Amt^3,-0.716605343
poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.71591223
poly__Total_Relationship_Count^3 Total_Trans_Ct,-0.712435026
poly__Months_Inactive_12_mon Total_Trans_Ct,-0.710467286
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.710443602
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.707739185
poly__Months_Inactive_12_mon^2 Total_Trans_Ct,-0.704763353
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.701737375
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,0.697932763
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.686805066
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.685115325
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt,0.683923644
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,-0.67672266
poly__Months_Inactive_12_mon Total_Trans_Ct^2,-0.667286383
poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.66671349
poly__Contacts_Count_12_mon Total_Revolving_Bal,-0.661209559
poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.654683203
poly__Contacts_Count_12_mon Dependent_count^2 Total_Trans_Amt,-0.6537202
poly__Total_Amt_Chng_Q4_Q1^3,-0.649125711
poly__Contacts_Count_12_mon^2,-0.645003295
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Trans_Amt,0.644821716
poly__Total_Amt_Chng_Q4_Q1^3 Total_Relationship_Count,-0.641071503
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct,-0.637852703
poly__Total_Trans_Amt^2,0.636603467
poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Trans_Ct,-0.633484992
poly__Total_Relationship_Count,-0.632323653
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal,0.6317475
poly__Dependent_count^2,-0.628244794
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct^2,-0.626626943
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.626586641
poly__Avg_Utilization_Ratio Total_Trans_Ct,-0.620417831
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.619911918
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.61675799
poly__Dependent_count Months_Inactive_12_mon,0.612512023
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.612443774
poly__Contacts_Count_12_mon Total_Trans_Amt Total_Trans_Ct,0.604154517
poly__Contacts_Count_12_mon Total_Revolving_Bal^2,0.603326115
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1,-0.603318363
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^3,0.603247746
poly__Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct^2,0.601610263
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.597309465
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,-0.593482471
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Relationship_Count,0.592423516
poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count Total_Trans_Amt,0.588388521
poly__Total_Relationship_Count Total_Revolving_Bal,-0.585085766
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.584902451
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,0.583661662
poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Ct,0.583559859
poly__Dependent_count Total_Amt_Chng_Q4_Q1^3,-0.581402638
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^3,-0.581145559
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,0.579906968
poly__Avg_Utilization_Ratio^3 Total_Ct_Chng_Q4_Q1,-0.579454939
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2 Total_Trans_Ct,-0.578900795
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,-0.578176178
poly__Avg_Utilization_Ratio^3 Total_Trans_Ct,-0.574761916
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct^2,0.571297041
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.568121327
poly__Total_Trans_Ct^2,-0.565442019
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.565255893
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,0.563198477
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,-0.561887465
poly__Total_Relationship_Count^2 Total_Trans_Amt,0.561778071
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Revolving_Bal,-0.560334244
poly__Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct^2,0.557236448
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.555670529
poly__Contacts_Count_12_mon^2 Total_Trans_Ct^2,-0.552232965
poly__Contacts_Count_12_mon Total_Trans_Amt^2 Total_Trans_Ct,-0.551524496
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.550319373
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.549307179
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.54871236
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,-0.544594027
poly__Avg_Utilization_Ratio Total_Relationship_Count^2 Total_Trans_Ct,-0.539473889
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.532122164
poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.529211511
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Amt^2,-0.527034494
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.526952867
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,0.526597935
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1,0.523965002
poly__Avg_Utilization_Ratio^2 Total_Revolving_Bal^2,-0.523644156
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^3,-0.523061999
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.522794827
poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon^2,-0.522565918
poly__Months_Inactive_12_mon^2,0.522454075
poly__Total_Relationship_Count^4,-0.521797643
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.518174063
poly__Months_Inactive_12_mon Total_Revolving_Bal^2,0.515923394
poly__Dependent_count Months_Inactive_12_mon^3,-0.51032664
poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon,-0.508283509
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,-0.506583131
poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,-0.504180281
poly__Avg_Utilization_Ratio Total_Trans_Amt^2 Total_Trans_Ct,0.50397492
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.503062257
poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt^2,0.502519639
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Ct,-0.50242352
poly__Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal Total_Trans_Amt,-0.500414794
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.496913985
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.496753567
poly__Total_Revolving_Bal^4,-0.492195133
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,-0.491747422
poly__Total_Revolving_Bal^2 Total_Trans_Ct,-0.490773049
poly__Avg_Utilization_Ratio Total_Relationship_Count^2 Total_Trans_Amt,-0.490294373
poly__Avg_Utilization_Ratio Dependent_count Total_Revolving_Bal Total_Trans_Ct,0.48961166
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.488899163
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.482448309
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^3,0.481977891
poly__Dependent_count Total_Trans_Amt^2,0.4800464
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2,-0.479203169
poly__Months_Inactive_12_mon^3 Total_Revolving_Bal,0.478300634
poly__Dependent_count Total_Relationship_Count^2 Total_Trans_Amt,-0.47617703
poly__Contacts_Count_12_mon^2 Total_Trans_Amt^2,0.474921152
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal^2,0.472545617
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal^2,-0.47001331
poly__Contacts_Count_12_mon Dependent_count Total_Trans_Amt^2,0.468656397
poly__Avg_Utilization_Ratio^2 Total_Relationship_Count Total_Revolving_Bal,-0.467671816
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.467650218
poly__Dependent_count^3 Total_Revolving_Bal,-0.46747604
poly__Avg_Utilization_Ratio Dependent_count Total_Ct_Chng_Q4_Q1^2,0.467378425
poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1^2,-0.467225393
poly__Dependent_count Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct,-0.466721581
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Trans_Ct,0.462304185
poly__Dependent_count Total_Relationship_Count Total_Trans_Amt,0.460516679
poly__Total_Revolving_Bal^3 Total_Trans_Amt,-0.460130967
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.458198098
poly__Dependent_count^2 Total_Relationship_Count Total_Trans_Ct,0.457493309
poly__Total_Relationship_Count^2 Total_Trans_Ct,-0.457450395
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.457357514
poly__Contacts_Count_12_mon^3 Total_Trans_Ct,-0.457103045
poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Trans_Amt,0.456677135
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.453350669
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Ct^2,-0.452590989
poly__Avg_Utilization_Ratio Total_Relationship_Count^2 Total_Revolving_Bal,0.451167314
poly__Total_Revolving_Bal^3 Total_Trans_Ct,0.448420122
poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Amt^2,-0.447894714
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Ct,-0.447362466
poly__Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Ct,0.447175591
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count^2,0.446038449
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.445020091
poly__Dependent_count Total_Ct_Chng_Q4_Q1,-0.443764717
poly__Contacts_Count_12_mon Total_Trans_Amt Total_Trans_Ct^2,-0.442141974
poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count Total_Trans_Ct,0.440620567
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.439849685
poly__Contacts_Count_12_mon Total_Relationship_Count^2 Total_Revolving_Bal,0.438747372
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2 Total_Trans_Ct,-0.438459088
poly__Dependent_count^2 Total_Relationship_Count,-0.438149231
poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.437661312
poly__Avg_Utilization_Ratio^2,-0.436486851
poly__Dependent_count^2 Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,-0.436473692
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.43641842
poly__Avg_Utilization_Ratio^2 Total_Trans_Amt^2,-0.434770502
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.434023546
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.432476517
remainder__Gender,-0.432375556
poly__Avg_Utilization_Ratio Total_Trans_Amt^3,0.43207302
poly__Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.43140194
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Trans_Ct,-0.42960317
poly__Contacts_Count_12_mon Dependent_count Total_Revolving_Bal^2,-0.428766897
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.428526469
poly__Total_Trans_Amt,0.428149159
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.428015652
poly__Avg_Utilization_Ratio Total_Revolving_Bal^2 Total_Trans_Amt,-0.42576036
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.425201336
poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.425172038
poly__Total_Ct_Chng_Q4_Q1^3 Total_Revolving_Bal,-0.423196514
poly__Total_Relationship_Count^2 Total_Revolving_Bal,-0.42228943
poly__Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Ct^2,0.421852646
poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count Total_Trans_Amt,-0.421712484
poly__Dependent_count Total_Revolving_Bal Total_Trans_Amt,-0.419367566
poly__Total_Trans_Amt Total_Trans_Ct^3,0.419353079
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.418645292
poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.418465232
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.417474155
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2 Total_Trans_Amt,0.416606464
poly__Contacts_Count_12_mon Total_Revolving_Bal^2 Total_Trans_Amt,-0.415312313
poly__Total_Amt_Chng_Q4_Q1^2,0.414989821
poly__Total_Relationship_Count^3 Total_Trans_Amt,0.411486846
poly__Contacts_Count_12_mon Total_Relationship_Count^3,0.408408408
poly__Total_Revolving_Bal^2 Total_Trans_Amt^2,0.407265555
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,0.406527972
poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Trans_Ct,0.405706547
poly__Dependent_count^3,-0.403951854
poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.400450886
poly__Avg_Utilization_Ratio^2 Dependent_count Total_Revolving_Bal,-0.399962693
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,-0.399505145
poly__Months_Inactive_12_mon Total_Trans_Amt,0.398156456
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.397747752
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.397580723
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,0.395896408
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Amt,0.395685485
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon^2,-0.390648997
poly__Total_Amt_Chng_Q4_Q1^3 Total_Trans_Amt,0.389901051
poly__Total_Trans_Amt Total_Trans_Ct,0.388388338
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,-0.38812315
poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.388009099
poly__Dependent_count Months_Inactive_12_mon^2 Total_Trans_Amt,0.388000254
poly__Total_Amt_Chng_Q4_Q1^3 Total_Trans_Ct,0.383837671
poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Trans_Ct,-0.382258862
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.381556171
poly__Dependent_count Months_Inactive_12_mon Total_Trans_Ct,-0.38014748
poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,0.379778134
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.376869698
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.37685424
poly__Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt^2,-0.376647477
poly__Contacts_Count_12_mon^3,-0.376177859
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^3,-0.376172289
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.376077239
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,-0.374984541
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Trans_Amt,-0.372255097
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.371395338
poly__Total_Revolving_Bal Total_Trans_Ct,0.370136011
poly__Dependent_count Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1,0.369281651
poly__Dependent_count Total_Relationship_Count Total_Revolving_Bal^2,0.368951921
poly__Contacts_Count_12_mon Total_Relationship_Count,-0.366840067
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.365871548
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,0.365448769
poly__Contacts_Count_12_mon^3 Total_Revolving_Bal,-0.364902457
