features,Coefficients
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.364658673
poly__Dependent_count Total_Trans_Amt,0.363697866
poly__Total_Revolving_Bal Total_Trans_Amt^2,-0.362829104
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.362098638
poly__Contacts_Count_12_mon Months_Inactive_12_mon^2,0.361525006
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.361287695
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.360451469
poly__Avg_Utilization_Ratio^2 Total_Relationship_Count Total_Trans_Amt,-0.360340394
poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Amt,0.359134141
poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct^2,-0.356608701
poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.355918467
poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Trans_Amt,-0.355507015
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.354754605
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.354590127
poly__Contacts_Count_12_mon^3 Dependent_count,0.353508242
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Amt^2,0.353263953
poly__Total_Trans_Amt^2 Total_Trans_Ct,-0.352429009
poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt,0.351963401
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal^2,-0.351022398
poly__Total_Trans_Amt^2 Total_Trans_Ct^2,-0.350778469
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count,0.350715919
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2,0.349528027
poly__Total_Relationship_Count Total_Revolving_Bal^3,0.349318354
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,0.348879658
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,0.347346191
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.347323943
poly__Contacts_Count_12_mon^2 Total_Relationship_Count^2,0.343424023
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct^2,-0.342183455
poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct^2,0.341926747
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.341529655
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt,-0.340172941
poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.338452739
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.337320575
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.337214333
poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal^2,0.336704748
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count^2,0.336618068
poly__Months_Inactive_12_mon Total_Relationship_Count^2,0.336481424
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.336320837
poly__Avg_Utilization_Ratio Dependent_count^2 Total_Revolving_Bal,0.335489929
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.334379979
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.332770657
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.332606049
poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1^2,0.33251616
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.33014642
poly__Avg_Utilization_Ratio Dependent_count Total_Revolving_Bal,0.32903398
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.328602312
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.326659976
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Relationship_Count,-0.326098473
poly__Contacts_Count_12_mon^3 Total_Relationship_Count,-0.325435102
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt,0.325256964
poly__Dependent_count Months_Inactive_12_mon^2 Total_Relationship_Count,-0.3248746
poly__Dependent_count Total_Revolving_Bal Total_Trans_Amt^2,-0.324756363
poly__Contacts_Count_12_mon^2 Total_Trans_Ct,-0.324342688
poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Ct,-0.323395673
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.323027833
poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,-0.322684914
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.321790296
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.321249274
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.321088349
poly__Avg_Utilization_Ratio Dependent_count^2 Total_Relationship_Count,-0.320216048
poly__Contacts_Count_12_mon Dependent_count Total_Trans_Ct^2,-0.320142317
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,0.319628907
poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1^2,-0.319172429
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.318710962
poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.318401278
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon,0.317968752
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Revolving_Bal,0.317865745
poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.317617505
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.317300201
poly__Contacts_Count_12_mon^2 Dependent_count,-0.31381964
poly__Avg_Utilization_Ratio Total_Relationship_Count,-0.311619204
poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Amt,-0.309644619
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,0.309525276
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,-0.309108441
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2,-0.308364902
poly__Avg_Utilization_Ratio^3 Total_Revolving_Bal,-0.307629938
poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.305230316
poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt Total_Trans_Ct,0.304864358
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Ct,0.30426667
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.302730185
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,-0.302363098
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1,-0.301017201
poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.301006903
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.299074102
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,0.299019824
poly__Avg_Utilization_Ratio Dependent_count^2 Total_Trans_Ct,-0.297246562
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,0.296512471
poly__Months_Inactive_12_mon Total_Revolving_Bal^2 Total_Trans_Amt,0.294338605
poly__Avg_Utilization_Ratio Dependent_count,0.293309208
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,0.292221561
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1,0.29041823
poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Amt^2,-0.29012866
poly__Avg_Utilization_Ratio Dependent_count^2 Total_Ct_Chng_Q4_Q1,0.290127448
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,-0.290063783
poly__Months_Inactive_12_mon Total_Revolving_Bal^2 Total_Trans_Ct,-0.289795557
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Ct,-0.289792962
poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1^2,0.289107403
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.288710681
poly__Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt,0.287962007
poly__Dependent_count^2 Months_Inactive_12_mon^2,-0.287950087
poly__Contacts_Count_12_mon^3 Total_Amt_Chng_Q4_Q1,0.286951237
poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1,0.286912435
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct^2,-0.284321488
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal,0.283930775
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.283351752
poly__Total_Revolving_Bal Total_Trans_Ct^2,0.282396147
poly__Contacts_Count_12_mon^2 Total_Relationship_Count Total_Trans_Ct,0.281902609
poly__Dependent_count Total_Relationship_Count,-0.28164735
poly__Dependent_count Months_Inactive_12_mon Total_Trans_Amt,0.281201713
poly__Contacts_Count_12_mon^2 Total_Revolving_Bal,-0.280115337
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct,-0.27985883
poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.279363752
poly__Dependent_count Total_Trans_Ct^3,-0.27828644
poly__Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct^2,-0.277861522
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.277854151
poly__Total_Revolving_Bal Total_Trans_Ct^3,-0.275711187
poly__Dependent_count^3 Total_Relationship_Count,0.275531711
poly__Months_Inactive_12_mon^3 Total_Trans_Amt,0.275389547
poly__Avg_Utilization_Ratio Dependent_count Total_Revolving_Bal^2,-0.275318484
poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1,0.274640583
poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.274369385
poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.273611855
poly__Dependent_count^2 Total_Revolving_Bal Total_Trans_Ct,-0.273540407
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon^2,-0.273014621
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count^2,0.272942097
poly__Avg_Utilization_Ratio^3 Total_Trans_Amt,-0.271766674
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.271637991
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.271028044
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.270768934
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.270571128
poly__Dependent_count^2 Total_Trans_Amt^2,0.270176404
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.269958467
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Amt Total_Trans_Ct,-0.268321151
poly__Contacts_Count_12_mon^2 Dependent_count Total_Trans_Ct,0.268177134
poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count Total_Trans_Ct,0.267586327
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.267009032
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Dependent_count,-0.2668043
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Amt^2,-0.265391012
poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count^2,0.264943988
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.263797828
poly__Months_Inactive_12_mon,0.263738373
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.262366989
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.262312657
poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count Total_Revolving_Bal,-0.261933946
poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,-0.261863955
poly__Dependent_count Total_Trans_Amt Total_Trans_Ct^2,0.261762672
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.261714541
poly__Dependent_count Months_Inactive_12_mon^2 Total_Revolving_Bal,-0.261356712
poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.260919503
poly__Total_Relationship_Count Total_Trans_Amt^2,0.260769234
poly__Contacts_Count_12_mon^2 Total_Trans_Amt,0.260373427
poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,0.258476161
poly__Total_Relationship_Count^2 Total_Trans_Amt Total_Trans_Ct,-0.256392666
poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count,-0.25624033
poly__Avg_Utilization_Ratio^4,0.255503273
poly__Months_Inactive_12_mon^2 Total_Revolving_Bal Total_Trans_Ct,0.255254655
poly__Total_Relationship_Count^2 Total_Revolving_Bal^2,0.253898833
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^3,-0.253580064
poly__Contacts_Count_12_mon Total_Relationship_Count^2,0.253243879
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.25190349
poly__Avg_Utilization_Ratio^2 Dependent_count Total_Ct_Chng_Q4_Q1,0.251607912
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.251358948
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.250705045
poly__Avg_Utilization_Ratio Contacts_Count_12_mon,0.250463015
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.24985436
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.249510147
poly__Total_Amt_Chng_Q4_Q1^3 Total_Revolving_Bal,0.249505834
poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Ct^2,0.248793682
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.248658127
poly__Avg_Utilization_Ratio^2 Dependent_count Total_Trans_Ct,0.248299979
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon,0.248002942
poly__Dependent_count^2 Months_Inactive_12_mon Total_Relationship_Count,0.247736798
poly__Months_Inactive_12_mon Total_Trans_Amt^2,0.247439028
poly__Avg_Utilization_Ratio Dependent_count^2 Total_Amt_Chng_Q4_Q1,0.246798912
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,0.245460722
poly__Dependent_count Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.245393094
poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.245252643
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct,-0.244957856
poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.24489453
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Trans_Amt,0.244621947
poly__Total_Revolving_Bal^2,0.244428332
poly__Dependent_count Total_Relationship_Count Total_Trans_Ct,0.243051824
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.242530272
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.242491266
poly__Avg_Utilization_Ratio Total_Trans_Amt Total_Trans_Ct^2,0.24126015
poly__Contacts_Count_12_mon Dependent_count,0.239954791
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.239348558
poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Trans_Amt,-0.239290724
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.239181196
poly__Avg_Utilization_Ratio Total_Trans_Amt^2,0.239037089
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.23840176
poly__Contacts_Count_12_mon Dependent_count^2 Months_Inactive_12_mon,0.238179892
poly__Avg_Utilization_Ratio Total_Relationship_Count^3,-0.236775752
poly__Months_Inactive_12_mon^2 Total_Relationship_Count Total_Trans_Ct,-0.236523302
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2,-0.236071317
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.235773007
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.235515653
poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,0.235154071
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1,-0.235016851
poly__Contacts_Count_12_mon^2 Dependent_count Months_Inactive_12_mon,-0.234951604
poly__Avg_Utilization_Ratio^3 Contacts_Count_12_mon,0.232630679
poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.232309355
poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.231871457
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Ct,0.231555705
poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Relationship_Count,-0.230147819
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2,0.23009394
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.228963628
poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,0.228928603
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.228431078
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.228405634
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.227493397
poly__Avg_Utilization_Ratio Total_Revolving_Bal^2 Total_Trans_Ct,-0.227472129
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,0.226840177
poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.226120411
poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Trans_Ct,-0.224370572
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Revolving_Bal,-0.223719319
poly__Dependent_count Total_Relationship_Count^2 Total_Trans_Ct,-0.223630019
poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count Total_Trans_Ct,0.223235808
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.222247051
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt,-0.222147386
poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.221014578
poly__Avg_Utilization_Ratio Contacts_Count_12_mon^3,0.220936244
poly__Total_Relationship_Count^2 Total_Revolving_Bal Total_Trans_Ct,-0.220821977
poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.219782794
poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.219657478
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Amt,0.21960497
poly__Months_Inactive_12_mon^2 Total_Relationship_Count^2,-0.21917789
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,0.218896937
poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count^2,-0.218533827
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Revolving_Bal,-0.217109375
poly__Months_Inactive_12_mon Total_Revolving_Bal,-0.216863941
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,-0.216329571
poly__Total_Revolving_Bal^2 Total_Trans_Amt Total_Trans_Ct,-0.216300229
poly__Dependent_count Total_Revolving_Bal,0.215777543
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Trans_Amt,0.215555915
poly__Total_Relationship_Count Total_Revolving_Bal^2 Total_Trans_Ct,0.215022417
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.214783165
poly__Dependent_count^2 Months_Inactive_12_mon Total_Trans_Amt,-0.214710909
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,0.214329359
poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count^2,-0.214287762
poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1^2,0.212852024
poly__Months_Inactive_12_mon^4,-0.212442561
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct,0.211665845
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Amt^2,0.211566757
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,-0.211533375
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt^2,0.209850959
